station_id,MeasurementDateGMT,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),delta_t,latitude,longitude,temperature,pressure,humidity,wind_direction,wind_speed/kph
CD1,2017-05-01 00:00:00,8.4,51.55,9.43,0.0,96.655,144.98250000000002,9.422355858316982,994.2721990324055,96.64598107500186,144.65762128945684,11.936405997574374
CD1,2017-05-01 01:00:00,8.2,12.8,36.6,1.0,51.544219,-0.175284,9.085330493738661,994.4668444990718,95.88367548238519,139.795010045276,12.066792400452133
CD1,2017-05-01 02:00:00,10.7,10.4,34.1,2.0,51.544219,-0.175284,8.749861631247454,994.6606425303186,95.12404932614332,135.0899729768987,12.282832875126337
CD1,2017-05-01 03:00:00,10.3,12.5,29.7,3.0,51.544219,-0.175284,8.408190800002773,994.856844499072,94.36018723143954,130.58604005689824,12.577041348845603
CD1,2017-05-01 04:00:00,6.3,10.1,31.4,4.0,51.544219,-0.175284,8.261440934292276,995.1454263657374,93.12001180484434,120.80352172701186,13.38097651020741
CD1,2017-05-01 05:00:00,9.4,17.0,40.7,5.0,51.544219,-0.175284,8.111168536203074,995.4302102011562,91.88787034795753,112.34646544292623,14.52518283102115
CD1,2017-05-01 06:00:00,14.7,16.4,56.2,6.0,51.544219,-0.175284,7.964418670492579,995.7187920678217,90.64952692231729,105.25287369456032,15.939660311286822
CD1,2017-05-01 07:00:00,8.7,21.7,46.0,7.0,51.544219,-0.175284,8.754833776750218,996.4330280062836,86.75851942943636,100.78191992208872,17.456270569607504
CD1,2017-05-01 08:00:00,8.6,21.5,47.9,8.0,51.544219,-0.175284,9.542841844722291,997.1520434407485,82.86751193655543,97.04178272875154,19.061319986425186
CD1,2017-05-01 09:00:00,8.4,10.3,42.7,9.0,51.544219,-0.175284,10.331290920688337,997.8716339125441,78.9745384133829,93.8997795773954,20.736506533358142
CD1,2017-05-01 10:00:00,9.1,9.8,65.3,10.0,51.544219,-0.175284,10.813370041500228,998.0186833167173,78.12273087754615,90.40268802612707,19.980000041975735
CD1,2017-05-01 11:00:00,9.8,13.2,59.1,11.0,51.544219,-0.175284,11.30080369564576,998.1675647218458,77.27034830437873,86.69737128389782,19.308278624649503
CD1,2017-05-01 12:00:00,9.3,16.8,59.4,12.0,51.544219,-0.175284,11.781050815502713,998.3165801563105,76.41854076854196,82.78872441450552,18.730657254307143
CD1,2017-05-01 13:00:00,12.6,16.4,58.6,13.0,51.544219,-0.175284,12.29418228121876,999.0817963208916,73.0370933755331,89.37132249326966,14.399284288993915
CD1,2017-05-01 14:00:00,10.2,10.4,65.5,14.0,51.544219,-0.175284,12.804909809427862,999.8551804845177,69.64747798347918,101.47125407861435,10.441106616940795
CD1,2017-05-01 15:00:00,9.1,10.7,66.3,15.0,51.544219,-0.175284,13.316618802393451,1000.6257511824326,66.26223255922379,125.60841730630317,7.4851747967768585
CD1,2017-05-01 16:00:00,12.3,12.8,78.2,16.0,51.544219,-0.175284,12.703840532383328,1001.4254504053324,70.81594852061149,137.28592819278967,10.357975796030665
CD1,2017-05-01 17:00:00,7.5,15.5,60.5,17.0,51.544219,-0.175284,12.096416795706846,1002.2251496282323,75.37305298504124,143.90070107003731,13.527062843672384
CD1,2017-05-01 18:00:00,9.4,15.4,59.5,18.0,51.544219,-0.175284,11.488418021699736,1003.0228828208408,79.92592151100914,148.05720365158038,16.837955367028623
CD1,2017-05-01 19:00:00,10.9,14.6,55.8,19.0,51.544219,-0.175284,10.565335123918723,1004.4170916189289,80.9289290627828,135.9932520045079,15.915616660023405
CD1,2017-05-01 20:00:00,9.8,11.1,69.5,20.0,51.544219,-0.175284,9.645065691849137,1005.811875454348,81.9285481115144,123.10060017612686,15.775720675750115
CD1,2017-05-01 21:00:00,9.2,14.9,67.8,21.0,51.544219,-0.175284,8.722830229487954,1007.2066592897667,82.9253536945346,110.6221916212046,16.43230822589636
CD1,2017-05-01 22:00:00,8.1,16.8,57.2,22.0,51.544219,-0.175284,7.90082727611272,1007.8437086939401,86.52545089362656,104.21558719809643,15.228795610986703
CD1,2017-05-01 23:00:00,8.5,13.8,49.3,23.0,51.544219,-0.175284,7.073469789403844,1008.4787920678218,90.12456662796203,96.82665963509801,14.244140361610304
CD1,2017-05-02 00:00:00,9.8,13.6,39.4,24.0,51.544219,-0.175284,6.249500805737018,1009.1106209679981,93.72185036134258,88.51159554019966,13.528176968641016
CD1,2017-05-02 01:00:00,9.2,13.3,29.9,25.0,51.544219,-0.175284,6.134256262145051,1009.6893640043738,94.40009915800435,84.18327845018982,13.10137902374056
CD1,2017-05-02 02:00:00,13.2,17.1,23.2,26.0,51.544219,-0.175284,6.018030253796601,1010.2705109782565,95.08214598591266,79.59537398916308,12.750617538467429
CD1,2017-05-02 03:00:00,14.5,18.7,33.8,27.0,51.544219,-0.175284,5.903770275739742,1010.847422013677,95.76039478257445,74.77799214686112,12.488737458322532
CD1,2017-05-02 04:00:00,20.0,18.8,42.8,28.0,51.544219,-0.175284,6.430819679913043,1011.370097110636,94.68808237326738,72.95292238961846,12.049316211564964
CD1,2017-05-02 05:00:00,22.4,35.6,97.6,29.0,51.544219,-0.175284,6.957869084086343,1011.8970081460568,93.61719243671074,70.98433257727164,11.622711531297442
CD1,2017-05-02 06:00:00,24.5,33.0,99.1,30.0,51.544219,-0.175284,7.483496015509187,1012.4257511824326,92.54572746282349,68.86520168465823,11.208781947988793
CD1,2017-05-02 07:00:00,24.1,39.3,99.4,31.0,51.544219,-0.175284,9.489150087305632,1013.0439191814776,84.46483442548823,73.02470631583212,11.440873952289346
